source_id,target_id,raw_cosine,old_score_0to100_onmap_minmax,new_score_0to100_fixed_calibration,old_link_distance_px,new_link_distance_px
deezer:4022917801,deezer:4022917751,0.981,20.0,55.0,78.0,57.0
deezer:4022917801,deezer:4022917771,0.982,26.7,57.7,74.0,55.4
deezer:4022917811,deezer:4022917751,0.982,26.7,57.7,74.0,55.4
deezer:4022917851,deezer:4022917751,0.982,26.7,57.7,74.0,55.4
deezer:4022917881,deezer:4022917871,0.982,26.7,57.7,74.0,55.4
deezer:3148611031,deezer:3148610991,0.982,26.7,57.7,74.0,55.4
deezer:3148611071,deezer:3148611061,0.982,26.7,57.7,74.0,55.4
deezer:4022917791,deezer:4022917751,0.983,33.3,61.3,70.0,53.2
deezer:4022917821,deezer:4022917751,0.983,33.3,61.3,70.0,53.2
deezer:4022917831,deezer:4022917781,0.983,33.3,61.3,70.0,53.2
deezer:4022917781,deezer:4022917741,0.983,33.3,61.3,70.0,53.2
deezer:4022917821,deezer:4022917741,0.983,33.3,61.3,70.0,53.2
deezer:4022917841,deezer:4022917811,0.983,33.3,61.3,70.0,53.2
deezer:4022917891,deezer:4022917741,0.983,33.3,61.3,70.0,53.2
deezer:4022917801,deezer:4022917781,0.983,33.3,61.3,70.0,53.2
deezer:4022917781,deezer:4022917751,0.983,33.3,61.3,70.0,53.2
deezer:4022917901,deezer:4022917801,0.983,33.3,61.3,70.0,53.2
deezer:3148611071,deezer:3148611051,0.983,33.3,61.3,70.0,53.2
deezer:4022917891,deezer:4022917771,0.984,40.0,64.8,66.0,51.1
deezer:4022917851,deezer:4022917741,0.984,40.0,64.8,66.0,51.1
deezer:4022917841,deezer:4022917761,0.984,40.0,64.8,66.0,51.1
deezer:4022917841,deezer:4022917781,0.984,40.0,64.8,66.0,51.1
deezer:4022917851,deezer:4022917791,0.984,40.0,64.8,66.0,51.1
deezer:4022917851,deezer:4022917761,0.984,40.0,64.8,66.0,51.1
deezer:4022917901,deezer:4022917861,0.984,40.0,64.8,66.0,51.1
deezer:3148611011,deezer:3148610991,0.984,40.0,64.8,66.0,51.1
deezer:3148611071,deezer:3148611011,0.984,40.0,64.8,66.0,51.1
deezer:3148611021,deezer:3148611011,0.984,40.0,64.8,66.0,51.1
deezer:4022917791,deezer:4022917781,0.985,46.7,68.3,62.0,49.0
deezer:4022917841,deezer:4022917801,0.985,46.7,68.3,62.0,49.0
deezer:4022917801,deezer:4022917791,0.985,46.7,68.3,62.0,49.0
deezer:4022917781,deezer:4022917761,0.985,46.7,68.3,62.0,49.0
deezer:4022917791,deezer:4022917771,0.985,46.7,68.3,62.0,49.0
deezer:4022917771,deezer:4022917741,0.985,46.7,68.3,62.0,49.0
deezer:4022917801,deezer:4022917741,0.985,46.7,68.3,62.0,49.0
deezer:3148611071,deezer:3148611001,0.985,46.7,68.3,62.0,49.0
deezer:4022917911,deezer:4022917871,0.985,46.7,68.3,62.0,49.0
deezer:3148611041,deezer:3148611011,0.985,46.7,68.3,62.0,49.0
deezer:3148611071,deezer:3148610991,0.986,53.3,71.8,58.0,46.9
deezer:4022917911,deezer:4022917881,0.986,53.3,71.8,58.0,46.9
deezer:4022917891,deezer:4022917851,0.986,53.3,71.8,58.0,46.9
deezer:4022917881,deezer:4022917811,0.986,53.3,71.8,58.0,46.9
deezer:3148611031,deezer:3148611011,0.986,53.3,71.8,58.0,46.9
deezer:4022917751,deezer:4022917741,0.986,53.3,71.8,58.0,46.9
deezer:4022917861,deezer:4022917791,0.986,53.3,71.8,58.0,46.9
